ID,Positive Event,Total Sends,Total Opens,Unique Opens,Total Clickthroughs,Unique Clickthroughs,Total Page Views,Total Visits,Average Page Time (seconds),Total Page Time (seconds),Total Form Submissions,Title,Job Function,Industry Formula,Region
1001A,0,,,,,,,,,,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
1002A,0,,,,,,,,,,,"Director, Software Engineering",Director / Development Manager,Computer Software,Americas
1003A,0,2,0,0,0,0,,,,,,"Senior Manager, Database Services","Business Executive (CEO, COO, CMO, etc.)",Banks,Americas
1004A,0,43,40,1,0,0,,,,,1,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,EMEA
1005A,0,,,,,,,,,,,Senior Lead Software Developer,Software Developer / Engineer,Telecommunications,Americas
1006A,0,,,,,,,,,,,Founder,DV,Telecommunications,Americas
1007A,0,,,,,,,,,,,Director of Infrastructure,Director / Development Manager,Computer Software,Americas
1008A,0,,,,,,,,,,,Cto,"IT Executive (CIO, CTO, VP Engineering, etc.)",Consulting,Americas
1009A,0,,,,,,52,6,124.5769231,6478,3,Enterprise Architect,Architect,Corporate Services,Americas
1010A,0,,,,,,,,,,,Software Leader,Software Developer / Engineer,Computer Software,Americas
1011A,0,12,0,0,0,0,,,,,,Sr Systems Analyst,Software Developer / Engineer,Telecommunications,Americas
1012A,0,,,,,,,,,,,Ingénieur Logiciel,Product / Project Manager,Media,EMEA
1013A,0,,,,,,,,,,,SW Products Lead,Product / Project Manager,Consumer Product Manufacturing,Americas
1014A,0,17,46,1,3,1,91,13,36.27472527,3301,2,Senior Architect,Architect,Corporate Services,Americas
1015A,0,80,71,1,8,1,1545,541,65.60906149,101366,13,DBA,DBA,0,APAC
1016A,0,,,,,,,,,,,"Vice President, Technology (North America Commercial Solutions)","IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,Americas
1017A,0,39,77,1,6,1,8,7,3.875,31,,0,Architect,Financial Services,Americas
1018A,0,,,,,,,,,,,CTO,0,Computer Software,APAC
1019A,0,,,,,,,,,,,Load & Performance & Automation Engineer at Time To Know,Software Developer / Engineer,Computer Software,EMEA
1020A,0,,,,,,,,,,,0,Product / Project Manager,Real Estate,EMEA
1021A,0,68,88,1,11,1,476,91,94.39285714,44931,11,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
1022A,0,20,2,1,0,0,,,,,,0,0,Media,APAC
1023A,0,48,119,1,3,1,236,78,66.3940678,15669,1,Director of Technology,Director / Development Manager,Computer Software,Americas
1024A,0,14,1,1,0,0,,,,,,Senior Manager Information Technology,Director / Development Manager,Schools and Education,Americas
1025A,0,,,,,,,,,,12,Technology Manager,Director / Development Manager,Media,Americas
1026A,0,116,119,1,9,1,372,152,61.05645161,22713,4,Software Developer / Engineer,Software Developer / Engineer,Real Estate,EMEA
1027A,0,,,,,,,,,,,director of Software Development,Director / Development Manager,Corporate Services,Americas
1028A,0,47,44,1,4,1,62,13,47.17741935,2925,9,0,Other,0,Americas
1029A,0,41,8,1,2,1,,,,,,Technical Architect,Architect,Pharmaceuticals and Biotechnology,Americas
1030A,0,7,0,0,0,0,,,,,,"Director, IT Innovation",0,Pharmaceuticals and Biotechnology,Americas
1031A,0,6,1,1,0,0,,,,,,"Director, Technology",Software Developer / Engineer,Computer Software,Americas
1032A,0,51,41,1,3,1,29,11,42.20689655,1224,5,0,DBA,0,Americas
1033A,0,,,,,,,,,,,CEO,"Business Executive (CEO, COO, CMO, etc.)",Consulting,EMEA
1034A,0,37,69,1,2,1,133,61,49.7593985,6618,,Director of Engineering,0,Computer Software,Americas
1035A,1,,,,,,,,,,,Database Administration Lead,DBA,Government,Americas
1036A,0,32,18,1,2,1,15,4,59.33333333,890,1,"VP, business Development","IT Executive (CIO, CTO, VP Engineering, etc.)",Telecommunications,EMEA
1037A,0,,,,,,,,,,,VP R&D,0,Telecommunications,EMEA
1038A,0,,,,,,,,,,,Senior Systems Analysts,Other,Energy and Environmental,Americas
1039A,0,29,0,0,0,0,149,34,58.39597315,8701,5,Developer,Software Developer / Engineer,Corporate Services,EMEA
1040A,0,,,,,,,,,,,Developer,Software Developer / Engineer,Corporate Services,EMEA
1041A,0,12,2,1,0,0,,,,,,0,0,Corporate Services,APAC
1042A,0,,,,,,,,,,,"IT Director, Application Production Support and Enhancements",Director / Development Manager,Insurance,Americas
1043A,0,38,9,1,22,1,84,31,35.83333333,3010,4,Principal Architect,Director / Development Manager,"Civic, Non-Profit and Membership Groups",Americas
1044A,0,5,2,1,1,1,45,10,57.06666667,2568,1,"Chief Executive Officer, Chief Financial Officer, President, Secretary, Treasure","IT Executive (CIO, CTO, VP Engineering, etc.)",Retail,Americas
1045A,1,,,,,,,,,,,Technical Development Manager,DV,Consumer Services,Americas
1046A,0,47,11,1,3,1,34,15,23.91176471,813,,"Director of IT Architecture, eCommerce Division",Director / Development Manager,Retail,Americas
1047A,0,,,,,,,,,,,Database Administrator,DBA,Insurance,Americas
1048A,0,,,,,,,,,,,Chief Technology Officer,0,Computer Software,Americas
1049A,0,5,0,0,0,0,,,,,,Global Solution Architect,Architect,Corporate Services,Americas
1050A,1,,,,,,,,,,,Chief Cloud Officer (CIO),"IT Executive (CIO, CTO, VP Engineering, etc.)",Electronics,Americas
1051A,1,,,,,,,,,,,"Senior Director, Enterprise Architecture",Director / Development Manager,Insurance,Americas
1052A,1,,,,,,,,,,,CTO,0,"Civic, Non-Profit and Membership Groups",Americas
1053A,1,22,3,1,1,1,1,1,0,0,,Sr Manager Database Administration,Director / Development Manager,Financial Services,Americas
1054A,0,13,0,0,0,0,,,,,,Architect,Architect,Government,Americas
1055A,0,27,42,1,13,1,17,12,32.17647059,547,4,Software Engineer,Software Developer / Engineer,Insurance,Americas
1056A,0,107,99,1,27,1,735,250,67.85986395,49877,14,0,Software Developer / Engineer,Schools and Education,Americas
1057A,0,90,14,1,8,1,553,111,132.2730561,73147,10,Software Architect,Architect,Holding Companies,Americas
1058A,0,16,4,1,0,0,,,,,1,Responsable projet,Product / Project Manager,Financial Services,EMEA
1059A,0,2,1,1,0,0,,,,,,"AVP, Head of Development and Quality Assurance Core Delivery Team - Global Solutions Delivery",Architect,Insurance,Americas
1060A,0,68,39,1,0,0,,,,,,Software Engineer,Software Developer / Engineer,Aerospace and Defense,Americas
1061A,0,,,,,,,,,,,Software Architect,Architect,Pharmaceuticals and Biotechnology,EMEA
1062A,0,20,147,1,11,1,111,34,51.63963964,5732,,Programmer Analyst,Software Developer / Engineer,Corporate Services,EMEA
1063A,0,,,,,,,,,,,Business Architect,Architect,Telecommunications,Americas
1064A,0,,,,,,,,,,,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Media,EMEA
1065A,0,108,15,1,0,0,18,7,43.05555556,775,3,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
1066A,0,,,,,,,,,,,DBA Manager,DBA,Retail,Americas
1067A,0,,,,,,,,,,,Chief Information Officer,"IT Executive (CIO, CTO, VP Engineering, etc.)",Retail,Americas
1068A,0,,,,,,,,,,,"Director, Technology - Enterprise Services","Business Executive (CEO, COO, CMO, etc.)",Financial Services,Americas
1069A,0,57,8,1,3,1,8,4,30.5,244,1,Software Architect,Architect,Insurance,Americas
1070A,0,67,40,1,0,0,,,,,,"Sr. Director, Online Technology, Digital Engineering and Mobile Solutions",Director / Development Manager,Retail,Americas
1071A,0,3,0,0,0,0,,,,,,"Vice President, Client Communications Technology",Director / Development Manager,Financial Services,Americas
1072A,0,26,6,1,2,1,90,25,38.83333333,3495,1,Sr. Engineering Manager,Software Developer / Engineer,Computer Software,Americas
1073A,0,3,0,0,0,0,,,,,,Vice President of Enterprise Architecture,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,Americas
1074A,0,,,,,,,,,,,Database Administrator,DBA,Computer Software,Americas
1075A,0,41,1,1,0,0,,,,,,"Senior Manager, Architecture & Infrastructure",Director / Development Manager,Transportation,Americas
1076A,0,38,26,1,2,1,115,20,99.22608696,11411,4,Sr Software Engineer,Software Developer / Engineer,Transportation,Americas
1077A,0,,,,,,,,,,,Software Developer / Engineer,DV,Corporate Services,Americas
1078A,0,,,,,,,,,,,Head of Engineering and Product Development,Director / Development Manager,Computer Software,Americas
1079A,0,10,0,0,0,0,,,,,,Chief Architect and Lead Engineer,Architect,Financial Services,Americas
1080A,0,,,,,,,,,,,Global Business Technology Manager,Director / Development Manager,"Leisure, Sports and Recreation",Americas
1081A,0,,,,,,,,,,,.NET Architect,Architect,Banks,Americas
1082A,0,,,,,,,,,,,Information Technology Specialist,"IT Executive (CIO, CTO, VP Engineering, etc.)",Government,Americas
1083A,0,23,0,0,0,0,19,2,140.3157895,2666,3,Application Development Manager,Director / Development Manager,Financial Services,Americas
1084A,0,1,4,1,0,0,,,,,2,Director of Development,Director / Development Manager,Computer Software,Americas
1085A,1,,,,,,,,,,,Database Administrator,OP,Computer Software,Americas
1086A,0,,,,,,,,,,,DBA,DBA,Computer Software,Americas
1087A,0,14,11,1,1,1,27,14,88.77777778,2397,,Head of Engineering,0,Computer Software,Americas
1088A,0,,,,,,,,,,,CTO - NYL Ventures & NYL Labs,"Business Executive (CEO, COO, CMO, etc.)",Financial Services,Americas
1089A,0,2,4,1,10,1,244,81,49.98770492,12197,6,Senior Developer,Software Developer / Engineer,Computer Hardware,Americas
1090A,1,,,,,,,,,,,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,Americas
1091A,0,,,,,,,,,,,President,"Business Executive (CEO, COO, CMO, etc.)",Media,Americas
1092A,0,42,23,1,3,1,8,4,65,520,4,Senior Software Architekt,Software Developer / Engineer,Corporate Services,EMEA
1093A,0,10,3,1,1,1,255,62,77.40784314,19739,1,Cloud Computing Innovation & Architecture,Architect,Computer Software,EMEA
1094A,0,,,,,,,,,,,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Social/Online Media,EMEA
1095A,0,35,146,1,24,1,77,36,21.23376623,1635,5,DBA Team Leader,DBA,Corporate Services,EMEA
1096A,0,,,,,,,,,,,Head of Digital Business Transformation at International Airlines Group (IAG),Director / Development Manager,Transportation,EMEA
1097A,1,,,,,,,,,,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Financial Services,EMEA
1098A,0,33,28,1,0,0,39,25,55,2145,,Senior Bioinformatics Scientist,Data Scientist,Pharmaceuticals and Biotechnology,Americas
1099A,0,61,75,1,5,1,639,176,70.98122066,45357,4,Database Administrator,DBA,Computer Software,Americas
1100A,0,,,,,,,,,,,"Senior Manager, Enterprise Application Services","Business Executive (CEO, COO, CMO, etc.)",Corporate Services,Americas
1101A,1,,,,,,,,,,,Deputy CIO / head of Dev,"IT Executive (CIO, CTO, VP Engineering, etc.)",Financial Services,EMEA
1102A,0,46,17,1,0,0,13,6,21,273,1,0,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,APAC
1103A,1,60,49,1,2,1,10,5,20.3,203,2,IT Global Production Manager,Product / Project Manager,Insurance,EMEA
1104A,0,,,,,,,,,,,Enterprise Architecture Mgr,Architect,Financial Services,EMEA
1105A,0,,,,,,,,,,,Lead Functional and Data Architect,Architect,Insurance,EMEA
1106A,0,43,0,0,0,0,,,,,,Webmaster/Seo Professional,Software Developer / Engineer,Schools and Education,Americas
1107A,0,20,7,1,0,0,,,,,,"ICT Functional Application & Architectures Manager,",Director / Development Manager,Energy and Environmental,EMEA
1108A,0,1,1,1,0,0,,,,,,Information Technology Manager,0,Schools and Education,Americas
1109A,0,102,70,1,12,1,78,25,57.57692308,4491,,R&D Architect,Software Developer / Engineer,Retail,EMEA
1110A,0,44,25,1,12,1,212,88,83.56132075,17715,6,SCM,Director / Development Manager,Media,APAC
1111A,0,,,,,,,,,,,Availability & Performance Manager,Other,Media,Americas
1112A,1,,,,,,,,,,,Architect,Architect,Financial Services,Americas
